Score,Total # of Trades,Current Trades,Unrated Trades,Curr Neg Trades,Hist Neg Trades,No. of Accts Paid,Curr Past Due,Amount Past due,30 Days,60 Days,90+ days,Inquiries,Inq. Last 6 Months,Public Records,Collections,Oldest Trade,Accounts Balance,Monthly Payment,Credit Limit,High Credit,Total Real Est. Bal,Total Rev. Bal,Tot. Installment Bal,Available %
656,4,4,0,0,0,0,0, $-   ,0,0,0,0,0,0,0,01/02/2018," $4,786.00 ", $178.00 ," $3,200.00 "," $5,180.00 ", $-   ," $3,073.00 "," $1,713.00 ",4%
720,6,2,0,0,0,4,0, $-   ,0,0,0,1,1,0,0,01/08/2009," $9,722.00 ", $257.00 ," $15,600.00 "," $202,195.00 ", $-   ," $9,722.00 ", $-   ,38%
592,50,34,0,2,0,12,2," $1,937.00 ",9,4,4,9,2,0,0,01/11/1987," $284,404.00 "," $3,630.00 "," $56,800.00 "," $788,866.00 "," $219,143.00 "," $48,766.00 "," $235,638.00 ",20%
669,30,9,0,0,0,15,0, $-   ,2,1,0,20,8,1,0,01/01/2003," $275,555.00 "," $2,162.00 "," $15,200.00 "," $705,460.00 "," l.: $262,358 "," $7,987.00 "," l.: $267,568 ",47%
569,2,1,0,0,0,0,0, $-   ,0,0,0,5,0,0,1,01/09/2018, $580.00 , $25.00 , $500.00 , $759.00 , $-   , $580.00 , $-   ,0%
587,29,9,0,12,1,5,1, $105.00 ,2,1,111,15,1,0,0,01/03/2010," $63,252.00 ", $299.00 ," $6,750.00 "," $74,564.00 ", $-   ," $5,869.00 "," $57,383.00 ",13%
592,18,13,0,0,0,0,3," $1,512.00 ",3,2,4,1,1,0,3,01/04/2016," $38,562.00 ", $-   , $-   ," $36,559.00 ", $-   , $-   ," $37,050.00 ",0%
579,76,16,0,1,1,38,10," $255,412.00 ",61,46,49,1,0,0,1,01/08/2005," $259,565.00 ", $175.00 ," $17,510.00 "," $824,686.00 ", $-   ," $37,435.00 ", $401.00 ,88%
558,7,4,0,0,0,1,1, $850.00 ,3,4,6,14,5,0,0,01/06/2003," $11,340.00 ", $294.00 ," $2,550.00 "," $15,354.00 ", $-   ," $1,604.00 "," $9,736.00 ",70%
599,17,14,0,0,1,2,1, $296.00 ,1,0,0,2,0,0,0,01/06/2012," $26,739.00 "," $1,066.00 "," $15,600.00 "," $40,857.00 ", $-   ," $16,047.00 "," $10,692.00 ",0%
604,7,3,0,0,0,1,1, $800.00 ,4,3,15,3,1,0,0,01/02/2017," $2,343.00 ", $251.00 ," $5,000.00 "," $5,516.00 ", $-   ," $2,026.00 ", $317.00 ,75%
572,5,2,0,0,0,1,1, $103.00 ,6,2,1,4,3,0,0,01/03/2011," $13,846.00 ", $270.00 , $-   ," $33,537.00 ", $-   , $-   ," $13,743.00 ",0%
667,9,6,0,0,0,1,2, $630.00 ,0,0,0,2,0,0,2,01/09/2014," $15,795.00 ", $516.00 ," $16,200.00 "," $27,192.00 ", $-   ," $4,899.00 "," $10,266.00 ",0%
763,15,8,0,0,0,5,0, $-   ,0,0,0,2,1,0,0,01/08/2010," $47,890.00 ", $870.00 ," $24,100.00 "," $119,141.00 ", $-   ," $4,633.00 "," $43,257.00 ",81%
652,7,5,0,1,0,0,0, $-   ,12,5,6,2,0,0,0,01/06/2013," $24,374.00 ", $201.00 ," $7,800.00 "," $23,558.00 ", $-   ," $3,672.00 "," $20,702.00 ",53%
570,36,5,0,6,4,8,5, $280.00 ,55,20,24,4,0,0,0,01/09/2005," $130,831.00 "," $1,603.00 "," $36,040.00 "," $306,416.00 ", $-   ," $26,604.00 "," $104,227.00 ",29%
586,21,3,0,1,0,4,11," $9,964.00 ",32,23,13,6,1,0,9,01/08/2009," $14,136.00 ", $-   , $-   ," $67,232.00 ", $-   ," $1,180.00 "," $3,968.00 ",0%
604,14,3,0,3,1,6,1, $42.00 ,10,0,0,1,0,0,0,01/03/2014," $9,153.00 ", $611.00 ," $3,800.00 "," $27,111.00 ", $-   ," $3,028.00 "," $6,125.00 ",0%
650,14,3,0,0,0,7,3," $2,041.00 ",3,1,4,2,0,0,2,01/08/2002," $2,445.00 ", $39.00 ," $1,800.00 "," $48,196.00 ", $-   ," $2,211.00 ", $-   ,78%
649,13,9,0,2,0,2,0, $-   ,8,1,0,3,0,0,0,01/10/2012," $27,329.00 ", $586.00 ," $12,800.00 "," $45,483.00 ", $-   ," $11,255.00 "," $16,074.00 ",0%
632,4,0,0,2,0,2,0, $-   ,6,3,0,1,0,0,0,01/08/2011, $44.00 , $9.00 ," $1,000.00 ", $635.00 , $-   , $44.00 , $-   ,96%
769,9,8,0,0,0,1,0, $-   ,0,0,0,0,0,0,0,01/08/2005," $20,742.00 ", $562.00 ," $27,000.00 "," $61,079.00 ", $-   ," $3,881.00 "," $16,861.00 ",86%
461,14,0,0,0,0,2,9," $20,108.00 ",5,4,12,1,0,0,2,01/10/2014," $20,108.00 ", $-   , $-   ," $19,538.00 ", $-   , $-   , $-   ,0%
586,16,8,0,1,1,6,1, $272.00 ,4,1,0,6,3,0,0,01/10/2014," $212,525.00 "," $2,043.00 "," $13,730.00 "," $249,700.00 "," $162,762.00 "," $7,685.00 "," $204,840.00 ",44%
532,16,5,0,0,0,1,9," $11,491.00 ",6,5,14,18,3,0,4,01/12/1999," $21,747.00 ", $179.00 , $700.00 ," $18,848.00 ", $-   ," $2,844.00 "," $9,744.00 ",49%
540,7,0,0,1,0,0,5," $4,269.00 ",1,4,4,5,0,0,4,01/03/2008," $36,573.00 ", $-   , $-   ," $20,394.00 ", $-   , $-   ," $32,304.00 ",0%
490,15,0,0,1,0,5,7," $19,920.00 ",16,6,18,11,5,0,3,01/05/2009," $35,125.00 ", $407.00 , $-   ," $93,749.00 ", $-   ," $2,161.00 "," $15,205.00 ",0%
645,3,3,0,0,0,0,0, $-   ,0,0,0,2,1,0,0,01/02/2019," $25,849.00 ", $-   , $-   ," $23,191.00 ", $-   , $-   ," $25,849.00 ",0%
622,5,2,0,1,0,2,0, $-   ,1,0,0,3,2,0,0,01/11/2017," $10,132.00 ", $98.00 ," $2,880.00 "," $20,764.00 ", $-   ," $2,791.00 "," $7,341.00 ",3%
647,65,15,0,0,0,50,0, $-   ,0,0,0,31,6,0,0,01/10/2015," $74,261.00 "," $1,150.00 "," $15,250.00 "," $201,014.00 ", $-   ," $6,801.00 "," $67,460.00 ",55%
533,40,2,0,0,0,1,33," $26,910.00 ",11,9,21,11,3,0,26,01/08/2005," $31,708.00 ", $88.00 , $200.00 ," $63,484.00 ", $-   ," $4,644.00 ", $306.00 ,0%
598,9,6,0,0,0,0,3," $1,835.00 ",0,0,0,1,1,0,3,01/09/2014," $30,138.00 ", $-   , $-   ," $29,395.00 ", $-   , $-   ," $28,303.00 ",0%
632,30,8,0,3,0,10,3," $1,890.00 ",13,2,4,3,0,0,2,01/11/2004," $5,710.00 ", $150.00 ," $11,720.00 "," $504,189.00 ", $-   ," $3,820.00 ", $-   ,67%
530,13,2,0,0,0,4,4," $2,779.00 ",18,12,14,0,0,0,1,01/11/2005," $31,322.00 ", $697.00 ," $18,700.00 "," $70,581.00 ", $-   ," $13,001.00 "," $14,017.00 ",0%
532,27,8,0,1,2,6,5," $1,213.00 ",13,9,23,12,1,1,2,01/01/2006," $11,799.00 ", $741.00 ," $22,850.00 "," $37,238.00 ", $-   ," $9,811.00 "," $1,071.00 ",57%
624,16,7,0,0,0,1,8," $19,256.00 ",1,1,1,23,4,0,5,01/07/2012," $63,078.00 "," $1,215.00 "," $1,450.00 "," $106,601.00 ", $-   , $874.00 ," $42,948.00 ",40%
707,29,19,0,0,0,1,0, $-   ,0,0,0,6,2,0,0,01/10/1998," $338,260.00 "," $4,027.00 "," $57,460.00 "," $515,894.00 "," $240,809.00 "," $49,443.00 "," $288,817.00 ",14%
710,11,11,0,0,0,0,0, $-   ,0,0,0,0,0,0,0,01/10/1987," $45,013.00 ", $448.00 ," $59,182.00 "," $61,055.00 ", $-   ," $14,682.00 "," $30,331.00 ",75%
555,31,13,0,0,0,1,6," $7,565.00 ",11,11,15,11,4,0,4,01/06/2003," $120,597.00 ", $578.00 ," $1,600.00 "," $125,067.00 ", $-   ," $4,486.00 "," $109,513.00 ",12%
639,27,11,0,1,0,6,4," $1,630.00 ",6,3,8,3,1,0,3,01/11/2004," $34,942.00 ", $722.00 ," $18,400.00 "," $127,435.00 ", $-   ," $4,503.00 "," $29,648.00 ",80%
639,58,16,0,11,0,11,5," $1,239.00 ",51,8,15,12,0,1,5,01/06/1999," $12,829.00 ", $428.00 ," $7,700.00 "," $514,739.00 ", $-   ," $4,721.00 "," $6,869.00 ",39%
585,21,7,0,2,1,10,1, $398.00 ,3,0,0,6,0,0,0,01/06/2012," $47,558.00 "," $1,885.00 "," $23,200.00 "," $1,637,695.00 ", $-   ," $23,593.00 "," $23,965.00 ",0%
641,22,8,0,0,0,8,6," $40,064.00 ",5,5,19,1,0,0,1,01/11/1996," $65,852.00 ", $371.00 ," $26,800.00 "," $69,798.00 ", $-   ," $43,900.00 "," $19,839.00 ",93%
631,6,6,0,0,0,0,0, $-   ,0,0,0,3,0,0,0,01/06/2017," $30,663.00 ", $392.00 ," $96,800.00 "," $51,431.00 ", $-   ," $30,663.00 ", $-   ,68%
569,8,1,0,0,0,6,1, $406.00 ,0,0,0,0,0,0,1,01/08/2019, $879.00 , $340.00 , $-   ," $2,135.00 ", $-   , $-   , $473.00 ,0%
700,17,12,0,0,0,4,0, $-   ,1,1,3,8,4,0,0,01/12/1999," $6,684.00 ", $501.00 ," $6,600.00 "," $22,146.00 ", $-   , $79.00 ," $6,605.00 ",99%
